Question,A,B,D,Correct
"1, 9000- 800x3",700,6600,6700,D
"2, Yig'indini toping 6704+24495",31109,31199,31299,A
"3, Ayirmani toping 24086-19297",4789,5889,4799,A
"4, Tenglamani yeching X x 70 =5600",70,90,80,D
"5, 8 dm = ,,,cm",80 cm,18 cm,88 cm,A
"6, Devordan osilgan plakat uzunligi 65 cm va kengligi uzunligidan 20 cm qisqa bo'lgan to'g'ri to'rtburchak ko'rinishiga ega, Plakat joylashtirilgan ramkaning perimetrini toping",220 cm,230 cm,210 cm,B
"7, Hisoblang, 378 kg + 222 kg",500 kg,600 kg,4000 kg,B
"8, 4 ta albom – 120 so’m, 6 ta daftar – 360 so’m, 1 ta daftar 1 ta albomdan - ? so'mga qimmat",60 so’m,30 so’m,90 so’m,D
"9, Tenglamani yeching X +2377 = 42000 : 7",6000,3623,36333,B
"10, Ko'paytmani toping 23 x 13",299,201,245,A
